fiche.date_expedition;fiche_enqueteur.date;crabe.taille
2021-07-21;2021-06-30;103
2021-07-21;2021-06-30;103
2021-07-21;2021-06-30;103
2021-07-21;2021-06-30;105
2021-07-21;2021-06-30;106
2021-07-21;2021-06-30;106
2021-07-21;2021-06-30;107
2021-07-21;2021-06-30;107
2021-07-21;2021-06-30;107
2021-07-21;2021-06-30;108
2021-07-21;2021-06-30;109
2021-07-21;2021-06-30;109
2021-07-21;2021-06-30;111
2021-07-21;2021-06-30;112
2021-07-21;2021-06-30;113
2021-07-21;2021-06-30;113
2021-07-21;2021-06-30;113
2021-07-21;2021-06-30;114
2021-07-21;2021-06-30;114
2021-07-21;2021-06-30;115
2021-07-21;2021-06-30;116
2021-07-21;2021-06-30;116
2021-07-21;2021-06-30;117
2021-07-21;2021-06-30;117
2021-07-21;2021-06-30;118
2021-07-21;2021-06-30;119
2021-07-21;2021-06-30;119
2021-07-21;2021-06-30;120
2021-07-21;2021-06-30;120
2021-07-21;2021-06-30;120
2021-07-21;2021-06-30;131
2021-07-21;2021-06-30;140
2021-07-21;2021-06-30;140
2021-07-21;2021-06-30;144
2021-07-21;2021-06-30;160
2021-07-21;2021-07-05;80
2021-07-21;2021-07-05;83
2021-07-21;2021-07-05;85
2021-07-21;2021-07-05;88
2021-07-21;2021-07-05;89
2021-07-21;2021-07-05;90
2021-07-21;2021-07-05;91
2021-07-21;2021-07-05;92
2021-07-21;2021-07-05;99
2021-07-21;2021-07-05;99
2021-07-21;2021-07-05;100
2021-07-21;2021-07-05;100
2021-07-21;2021-07-05;101
2021-07-21;2021-07-05;102
2021-07-21;2021-07-05;102
2021-07-21;2021-07-05;102
2021-07-21;2021-07-05;103
2021-07-21;2021-07-05;103
2021-07-21;2021-07-05;103
2021-07-21;2021-07-05;103
2021-07-21;2021-07-05;104
2021-07-21;2021-07-05;104
2021-07-21;2021-07-05;105
2021-07-21;2021-07-05;105
2021-07-21;2021-07-05;107
2021-07-21;2021-07-05;107
2021-07-21;2021-07-05;108
2021-07-21;2021-07-05;109
