zone_corecrabe.nom;region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche.date_expedition;fiche_enqueteur.date;fiche_enqueteur.participant_individu;fiche_enqueteur.participant_nombre;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.crabe_consomme_nombre;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-08;seul;0;1.5;0.5;;1;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-09;seul;0;8.5;1;7;7.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-13;seul;0;11.5;1.5;10;10;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-14;seul;0;4.5;0.5;5;4;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-14;seul;0;6.5;0.5;3;6;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-15;seul;0;1;0;;1;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-15;seul;0;2.5;0.5;4;2;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-15;seul;0;5;0.5;;4.5;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-15;seul;0;7.5;0;;7.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-16;seul;0;1;0;;1;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-16;seul;0;2;0;0;2;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-16;seul;0;4.5;0;;4.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-18;seul;0;1;0;0;1;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-18;seul;0;1.5;0;0;1.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-18;seul;0;5;0;0;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-18;seul;0;5.5;0;0;5.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-20;seul;0;5.5;0.5;3;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-24;2021-08-24;seul;0;5.5;1.5;;3;3000;;;1;500
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-27;2021-08-20;seul;0;1.5;0;0;1.5;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-27;2021-08-20;seul;0;6.5;1;6;5.5;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-27;2021-08-21;seul;0;2.5;0;0;2.5;3000;;;0;0
