zone_corecrabe.nom,region.nom,district.nom,commune.nom,fokontany.nom,village.nom,fiche.date_expedition,fiche_enqueteur.date,fiche_enqueteur.participant_nombre,fiche_enqueteur.capture_poids,fiche_enqueteur.crabe_consomme_poids,fiche_enqueteur.collecte_poids1,nombre_sortie_capture,echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-21,0,16,2,14,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-21,0,23,2,21,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-21,0,23,2,21,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-22,0,4,1,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-22,0,5,0,5,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-22,0,16,0,16,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-22,0,19,1,18,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-23,0,6,1,5,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-23,0,7,1,6,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-23,0,19,1,18,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-24,0,4,0,4,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-24,0,14,2,12,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-24,0,17,1,16,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-25,0,12.5,0.5,12,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-25,0,17,1,16,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-26,0,5,1,4,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-26,0,10,0,10,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-26,0,14.5,2.5,12,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-27,0,4.5,0.5,4,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-29,0,4,0,4,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-29,0,5,1,4,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-29,0,5.5,0.5,5,1,true,plus petit,
