echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre,echantillon.poids
true,plus petit,,15
true,plus petit,,15
true,plus petit,,15
true,plus petit,,15
true,plus petit,,15.2
true,plus petit,,15.6
true,plus petit,,15.79
true,plus petit,,16
true,plus petit,,17
true,plus petit,,17
true,plus petit,,18
true,plus petit,,18
true,plus petit,,18.2
true,plus petit,,20
