zone_corecrabe.nom,village.nom,fiche_acheteur.date,fiche_acheteur.collecte_poids1,nombre_sortie_vente
Mahajanga,Langany,2022-10-11,4,3
Mahajanga,Langany,2022-10-11,7,3
Mahajanga,Langany,2022-10-11,7,4
Mahajanga,Langany,2022-10-11,8,3
Mahajanga,Langany,2022-10-11,8,4
Mahajanga,Langany,2022-10-11,8,4
Mahajanga,Langany,2022-10-11,10,3
Mahajanga,Langany,2022-10-11,10,4
Mahajanga,Langany,2022-10-11,11,3
Mahajanga,Langany,2022-10-11,15,3
Mahajanga,Langany,2022-10-11,15,3
Mahajanga,Marotia,2022-09-02,7,3
Mahajanga,Marotia,2022-09-02,7,3
Mahajanga,Marotia,2022-09-02,8,3
Mahajanga,Marotia,2022-09-02,8,3
Mahajanga,Marotia,2022-09-02,8,3
Mahajanga,Marotia,2022-09-02,12,3
Mahajanga,Marotia,2022-09-02,12,3
Mahajanga,Marotia,2022-09-02,14,3
Mahajanga,Marotia,2022-09-02,14,3
Mahajanga,Marotia,2022-09-02,17,3
Mahajanga,Marotia,2022-09-04,8,2
Mahajanga,Marotia,2022-09-04,9,2
Mahajanga,Marotia,2022-09-04,10,3
Mahajanga,Marotia,2022-09-04,11,2
Mahajanga,Marotia,2022-09-04,14,2
Mahajanga,Marotia,2022-09-05,6,2
Mahajanga,Marotia,2022-09-05,7,3
Mahajanga,Marotia,2022-09-05,8,3
Mahajanga,Marotia,2022-09-05,8,3
Mahajanga,Marotia,2022-09-05,10,3
Mahajanga,Marotia,2022-09-05,10,3
Mahajanga,Marotia,2022-09-05,11,3
Mahajanga,Marotia,2022-09-06,7,2
Mahajanga,Marotia,2022-09-06,9,2
Mahajanga,Marotia,2022-09-06,12,3
Mahajanga,Marotia,2022-09-07,5,2
Mahajanga,Marotia,2022-09-07,6,3
Mahajanga,Marotia,2022-09-07,8,3
Mahajanga,Marotia,2022-09-07,8,3
Mahajanga,Marotia,2022-09-07,9,3
Mahajanga,Marotia,2022-09-09,6,3
Mahajanga,Marotia,2022-09-09,8,3
Mahajanga,Marotia,2022-09-09,9,4
Mahajanga,Marotia,2022-09-09,10,1
Mahajanga,Marotia,2022-09-09,10,3
Mahajanga,Marotia,2022-09-10,6,2
Mahajanga,Marotia,2022-09-10,8,3
Mahajanga,Marotia,2022-09-10,10,3
Mahajanga,Marotia,2022-09-10,11,1
Mahajanga,Marotia,2022-09-10,13,2
Mahajanga,Marotia,2022-09-11,5,3
