zone_corecrabe.nom,village.nom,fiche.date_expedition,fiche_acheteur.date
Mahajanga,Sambiravo,,2022-08-28
Mahajanga,Sambiravo,,2022-08-29
Mahajanga,Sambiravo,,2022-08-29
Mahajanga,Sambiravo,,2022-08-29
Mahajanga,Sambiravo,,2022-08-29
Mahajanga,Sambiravo,,2022-08-29
Morombe,Ambohibe,2022-08-07,2022-08-30
Morombe,Ambohibe,2022-08-07,2022-08-30
Morombe,Ambohibe,2022-08-07,2022-08-30
Morombe,Ambohibe,2022-08-07,2022-08-30
Morombe,Ambohibe,2022-08-07,2022-08-30
Morombe,Ambohibe,,2022-08-01
Morombe,Ambohibe,,2022-08-01
Morombe,Ambohibe,,2022-08-01
Morombe,Ambohibe,,2022-08-01
Morombe,Ambohibe,,2022-08-01
Morombe,Ambohibe,,2022-08-01
Morombe,Ambohibe,,2022-08-01
Morombe,Ambohibe,,2022-08-01
Morombe,Ambohibe,,2022-08-01
Morombe,Ambohibe,,2022-08-01
Morombe,Ambohibe,,2022-08-02
Morombe,Ambohibe,,2022-08-02
Morombe,Ambohibe,,2022-08-02
Morombe,Ambohibe,,2022-08-02
Morombe,Ambohibe,,2022-08-02
Morombe,Ambohibe,,2022-08-02
Morombe,Ambohibe,,2022-08-02
Morombe,Ambohibe,,2022-08-02
Morombe,Ambohibe,,2022-08-02
Morombe,Ambohibe,,2022-08-02
Morombe,Ambohibe,,2022-08-08
Morombe,Ambohibe,,2022-08-08
Morombe,Ambohibe,,2022-08-08
Morombe,Ambohibe,,2022-08-08
Morombe,Ambohibe,,2022-08-08
Morombe,Ambohibe,,2022-08-09
Morombe,Ambohibe,,2022-08-09
Morombe,Ambohibe,,2022-08-09
Morombe,Ambohibe,,2022-08-09
Morombe,Ambohibe,,2022-08-09
Morombe,Ambohibe,,2022-08-09
Morombe,Ambohibe,,2022-08-09
Morombe,Ambohibe,,2022-08-09
Morombe,Ambohibe,,2022-08-09
Morombe,Ambohibe,,2022-08-09
Morombe,Ambohibe,,2022-08-15
Morombe,Ambohibe,,2022-08-15
Morombe,Ambohibe,,2022-08-15
Morombe,Ambohibe,,2022-08-15
Morombe,Ambohibe,,2022-08-15
Morombe,Ambohibe,,2022-08-16
Morombe,Ambohibe,,2022-08-16
Morombe,Ambohibe,,2022-08-16
Morombe,Ambohibe,,2022-08-16
Morombe,Ambohibe,,2022-08-16
Morombe,Ambohibe,,2022-08-16
Morombe,Ambohibe,,2022-08-16
Morombe,Ambohibe,,2022-08-16
Morombe,Ambohibe,,2022-08-16
Morombe,Ambohibe,,2022-08-16
Morombe,Ambohibe,,2022-08-20
Morombe,Ambohibe,,2022-08-22
Morombe,Ambohibe,,2022-08-22
Morombe,Ambohibe,,2022-08-22
Morombe,Ambohibe,,2022-08-22
Morombe,Ambohibe,,2022-08-22
Morombe,Ambohibe,,2022-08-22
Morombe,Ambohibe,,2022-08-22
Morombe,Ambohibe,,2022-08-22
Morombe,Ambohibe,,2022-08-22
Morombe,Ambohibe,,2022-08-22
Morombe,Ambohibe,,2022-08-22
Morombe,Ambohibe,,2022-08-23
Morombe,Ambohibe,,2022-08-23
Morombe,Ambohibe,,2022-08-23
Morombe,Ambohibe,,2022-08-23
Morombe,Ambohibe,,2022-08-23
Morombe,Ambohibe,,2022-08-23
Morombe,Ambohibe,,2022-08-23
Morombe,Ambohibe,,2022-08-23
Morombe,Ambohibe,,2022-08-23
Morombe,Ambohibe,,2022-08-23
Morombe,Ambohibe,,2022-08-29
Morombe,Ambohibe,,2022-08-29
Morombe,Ambohibe,,2022-08-29
Morombe,Ambohibe,,2022-08-29
Morombe,Ambohibe,,2022-08-29
Morombe,Ambohibe,,2022-08-29
Morombe,Ambohibe,,2022-08-29
Morombe,Ambohibe,,2022-08-29
Morombe,Ambohibe,,2022-08-29
Morombe,Ambohibe,,2022-08-29
Morombe,Ambohibe,,2022-08-30
Morombe,Ambohibe,,2022-08-30
Morombe,Ambohibe,,2022-08-30
Morombe,Ambohibe,,2022-08-30
Morombe,Ambohibe,,2022-08-30
Morombe,Andranopasy,,2022-08-01
Morombe,Andranopasy,,2022-08-01
Morombe,Andranopasy,,2022-08-01
Morombe,Andranopasy,,2022-08-01
Morombe,Andranopasy,,2022-08-01
Morombe,Andranopasy,,2022-08-01
Morombe,Andranopasy,,2022-08-02
Morombe,Andranopasy,,2022-08-02
Morombe,Andranopasy,,2022-08-02
Morombe,Andranopasy,,2022-08-02
Morombe,Andranopasy,,2022-08-08
Morombe,Andranopasy,,2022-08-08
Morombe,Andranopasy,,2022-08-08
Morombe,Andranopasy,,2022-08-08
Morombe,Andranopasy,,2022-08-08
Morombe,Andranopasy,,2022-08-09
Morombe,Andranopasy,,2022-08-09
Morombe,Andranopasy,,2022-08-09
Morombe,Andranopasy,,2022-08-09
Morombe,Andranopasy,,2022-08-09
Morombe,Andranopasy,,2022-08-15
Morombe,Andranopasy,,2022-08-15
Morombe,Andranopasy,,2022-08-15
Morombe,Andranopasy,,2022-08-15
Morombe,Andranopasy,,2022-08-15
Morombe,Andranopasy,,2022-08-16
Morombe,Andranopasy,,2022-08-16
Morombe,Andranopasy,,2022-08-16
Morombe,Andranopasy,,2022-08-16
Morombe,Andranopasy,,2022-08-16
Morombe,Andranopasy,,2022-08-20
Morombe,Andranopasy,,2022-08-22
Morombe,Andranopasy,,2022-08-22
Morombe,Andranopasy,,2022-08-22
Morombe,Andranopasy,,2022-08-22
Morombe,Andranopasy,,2022-08-30
Morombe,Andranopasy,,2022-08-30
Morombe,Andranopasy,,2022-08-30
Morombe,Andranopasy,,2022-08-30
Morombe,Andranopasy,,2022-08-30
Morombe,Ankilifaly,,2022-08-01
Morombe,Ankilifaly,,2022-08-01
Morombe,Ankilifaly,,2022-08-01
Morombe,Ankilifaly,,2022-08-01
Morombe,Ankilifaly,,2022-08-01
Morombe,Ankilifaly,,2022-08-07
Morombe,Ankilifaly,,2022-08-07
Morombe,Ankilifaly,,2022-08-07
Morombe,Ankilifaly,,2022-08-08
Morombe,Ankilifaly,,2022-08-08
Morombe,Ankilifaly,,2022-08-08
Morombe,Ankilifaly,,2022-08-08
Morombe,Ankilifaly,,2022-08-09
Morombe,Ankilifaly,,2022-08-09
Morombe,Ankilifaly,,2022-08-09
Morombe,Ankilifaly,,2022-08-14
Morombe,Ankilifaly,,2022-08-14
