village.nom;fiche.date_expedition;fiche_enqueteur.date
 Antsosa ;2022-03-22;2022-03-15
 Antsosa ;2022-03-22;2022-03-15
 Antsosa ;2022-03-22;2022-03-16
 Antsosa ;2022-03-22;2022-03-16
 Antsosa ;2022-03-22;2022-03-16
 Antsosa ;2022-03-22;2022-03-16
 Antsosa ;2022-03-22;2022-03-17
 Antsosa ;2022-03-22;2022-03-17
 Antsosa ;2022-03-22;2022-03-19
 Antsosa ;2022-03-22;2022-03-19
 Antsosa ;2022-03-22;2022-03-19
 Antsosa ;2022-03-22;2022-03-19
 Antsosa ;2022-03-31;2022-03-21
 Antsosa ;2022-03-31;2022-03-21
 Antsosa ;2022-03-31;2022-03-22
 Antsosa ;2022-03-31;2022-03-22
 Antsosa ;2022-03-31;2022-03-22
 Antsosa ;2022-03-31;2022-03-22
 Antsosa ;2022-03-31;2022-03-23
 Antsosa ;2022-03-31;2022-03-23
 Antsosa ;2022-03-31;2022-03-23
 Antsosa ;2022-03-31;2022-03-23
 Antsosa ;2022-03-31;2022-03-24
 Antsosa ;2022-03-31;2022-03-24
 Antsosa ;2022-03-31;2022-03-24
 Antsosa ;2022-03-31;2022-03-24
 Antsosa ;2022-03-31;2022-03-25
 Antsosa ;2022-03-31;2022-03-25
 Antsosa ;2022-03-31;2022-03-25
 Antsosa ;2022-03-31;2022-03-25
 Antsosa ;2022-03-31;2022-03-26
 Antsosa ;2022-03-31;2022-03-26
 Antsosa ;2022-04-10;2022-04-02
 Antsosa ;2022-04-10;2022-04-02
 Antsosa ;2022-04-10;2022-04-02
 Antsosa ;2022-04-10;2022-04-02
 Antsosa ;2022-04-10;2022-04-04
 Antsosa ;2022-04-10;2022-04-04
 Antsosa ;2022-04-10;2022-04-04
 Antsosa ;2022-04-10;2022-04-04
 Antsosa ;2022-04-10;2022-04-05
 Antsosa ;2022-04-10;2022-04-05
 Antsosa ;2022-04-10;2022-04-05
 Antsosa ;2022-04-10;2022-04-05
 Antsosa ;2022-04-10;2022-04-06
 Antsosa ;2022-04-10;2022-04-06
 Antsosa ;2022-04-10;2022-04-07
 Antsosa ;2022-04-10;2022-04-07
 Antsosa ;2022-04-19;2022-04-11
 Antsosa ;2022-04-19;2022-04-11
 Antsosa ;2022-04-19;2022-04-11
 Antsosa ;2022-04-19;2022-04-11
 Antsosa ;2022-04-19;2022-04-12
 Antsosa ;2022-04-19;2022-04-12
 Antsosa ;2022-04-19;2022-04-12
 Antsosa ;2022-04-19;2022-04-12
 Antsosa ;2022-04-19;2022-04-13
 Antsosa ;2022-04-19;2022-04-13
 Antsosa ;2022-04-19;2022-04-13
 Antsosa ;2022-04-19;2022-04-13
 Antsosa ;2022-04-19;2022-04-14
 Antsosa ;2022-04-19;2022-04-14
 Antsosa ;2022-04-19;2022-04-14
 Antsosa ;2022-04-19;2022-04-14
Boringeny;2021-06-06;2021-06-21
Boringeny;2021-06-27;2021-06-16
Boringeny;2021-06-27;2021-06-16
Boringeny;2021-06-27;2021-06-16
Boringeny;2021-06-27;2021-06-17
Boringeny;2021-06-27;2021-06-17
Boringeny;2021-06-27;2021-06-17
Boringeny;2021-06-27;2021-06-17
Boringeny;2021-06-27;2021-06-17
Boringeny;2021-06-27;2021-06-18
Boringeny;2021-06-27;2021-06-18
Boringeny;2021-06-27;2021-06-18
Boringeny;2021-06-27;2021-06-18
Boringeny;2021-06-27;2021-06-19
Boringeny;2021-06-27;2021-06-19
Boringeny;2021-07-03;2021-06-21
Boringeny;2021-07-03;2021-06-21
Boringeny;2021-07-03;2021-06-22
Boringeny;2021-07-03;2021-06-22
Boringeny;2021-07-03;2021-06-22
Boringeny;2021-07-03;2021-06-23
Boringeny;2021-07-03;2021-06-23
Boringeny;2021-07-03;2021-06-23
Boringeny;2021-07-03;2021-06-23
Boringeny;2021-07-03;2021-06-23
Boringeny;2021-07-03;2021-06-24
Boringeny;2021-07-03;2021-06-24
Boringeny;2021-07-03;2021-06-24
Boringeny;2021-07-03;2021-06-24
Boringeny;2021-07-03;2021-06-25
Boringeny;2021-07-03;2021-06-25
Boringeny;2021-07-03;2021-06-25
